ResourceTypeAcronym,InstanceName,ScenarioName,ObjectTypeCV,AttributeNameCV,AttributeName_Abstract,UnitName,SeasonName,SeasonOrder,SeasonNumericValue
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Nov,2,0
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Dec,3,0
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jan,4,0
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Feb,5,0
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Mar,6,0
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Apr,7,21.63119
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,May,8,69.46959
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jun,9,87.25608
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jul,10,90.1998
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Aug,11,84.3185
WEAP,North Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Sep,12,62.07156
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Oct,1,485.76359
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Nov,2,0
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Dec,3,0
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jan,4,0
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Feb,5,0
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Mar,6,0
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Apr,7,0
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,May,8,736.02745
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jun,9,1247.74046
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jul,10,1839.06337
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Aug,11,1729.41071
WEAP,Paradise Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Sep,12,940.98499
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Oct,1,33.63
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Nov,2,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Dec,3,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jan,4,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Feb,5,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Mar,6,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Apr,7,3.916
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,May,8,114.7099
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jun,9,144.9385
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Jul,10,148.8
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Aug,11,139.5357
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,AF,Sep,12,95.45597
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Oct,1,7.183
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Nov,2,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Dec,3,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jan,4,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Feb,5,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Mar,6,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Apr,7,4.838
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,May,8,15.539
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jun,9,19.518
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jul,10,20.176
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Aug,11,18.861
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Sep,12,13.884
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Oct,1,6.9637
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Nov,2,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Dec,3,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jan,4,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Feb,5,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Mar,6,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Apr,7,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,May,8,10.5459
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jun,9,17.8822
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jul,10,26.3504
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Aug,11,24.774
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Sep,12,13.4833
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Oct,1,6.9637
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Nov,2,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Dec,3,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jan,4,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Feb,5,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Mar,6,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Apr,7,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,May,8,10.5459
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jun,9,17.8822
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Jul,10,26.3504
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Aug,11,24.774
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,% share,Sep,12,13.4833
