Date, Time, Scenario, Year, TimeStep, Allocation Order, Allocation Order Iteration, Type, Reduction Fraction, MinCoverage, ObjID, ObjName, Amount Reduced[CFS], Amount Reduced[m^3], Amount Reduced[AF]
08/23/2018, 11:44:00, Reference, 1983, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:01, Reference, 1983, November, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 210.225760769342, 15429996.3826012, 12509.3202829403
08/23/2018, 11:44:01, Reference, 1984, January, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 185.071017944344, 14036497.2297093, 11379.5904511701
08/23/2018, 11:44:02, Reference, 1984, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:03, Reference, 1984, November, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 210.225760769342, 15429996.3826012, 12509.3202829403
08/23/2018, 11:44:03, Reference, 1985, January, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 185.071017944344, 14036497.2297093, 11379.5904511701
08/23/2018, 11:44:03, Reference, 1985, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:04, Reference, 1986, January, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 185.071017944344, 14036497.2297093, 11379.5904511701
08/23/2018, 11:44:04, Reference, 1986, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:05, Reference, 1986, November, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 210.225760769342, 15429996.3826012, 12509.3202829403
08/23/2018, 11:44:05, Reference, 1987, January, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 185.071017944344, 14036497.2297093, 11379.5904511701
08/23/2018, 11:44:05, Reference, 1987, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:19, Reference, 1997, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:20, Reference, 1997, November, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 210.225760769342, 15429996.3826012, 12509.3202829403
08/23/2018, 11:44:20, Reference, 1998, January, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 185.071017944344, 14036497.2297093, 11379.5904511701
08/23/2018, 11:44:20, Reference, 1998, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:21, Reference, 1998, November, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 210.225760769342, 15429996.3826012, 12509.3202829403
08/23/2018, 11:44:21, Reference, 1999, January, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 185.071017944344, 14036497.2297093, 11379.5904511701
08/23/2018, 11:44:21, Reference, 1999, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
08/23/2018, 11:44:22, Reference, 1999, November, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 210.225760769342, 15429996.3826012, 12509.3202829403
08/23/2018, 11:44:23, Reference, 2000, January, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 185.071017944344, 14036497.2297093, 11379.5904511701
08/23/2018, 11:44:23, Reference, 2000, March, 4, 1, MinCov, 0.01, 0.99, 406, "Reservoir: Rainbow Canal and Outlet, Bear Lake", 166.830395912322, 12653058.3560028, 10258.0166326189
