ResourceTypeAcronym,InstanceName,ScenarioName,ObjectTypeCV,AttributeNameCV,AttributeName_Abstract,SeasonName,SeasonOrder,SeasonNumericValue
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Nov,2,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Dec,3,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Jan,4,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Feb,5,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Mar,6,0
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Apr,7,3.916
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,May,8,114.7099
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Jun,9,144.9385
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Jul,10,148.8
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Aug,11,139.5357
WEAP,West Cache Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Demand,Sep,12,95.45597
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Oct,1,7.183
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Nov,2,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Dec,3,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jan,4,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Feb,5,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Mar,6,0
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Apr,7,4.838
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,May,8,15.539
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jun,9,19.518
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jul,10,20.176
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Aug,11,18.861
WEAP,Cub River Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Sep,12,13.884
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Oct,1,6.9637
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Nov,2,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Dec,3,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jan,4,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Feb,5,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Mar,6,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Apr,7,0
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,May,8,10.5459
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jun,9,17.8822
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jul,10,26.3504
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Aug,11,24.774
WEAP,Providence Irr,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Sep,12,13.4833
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Oct,1,6.9637
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Nov,2,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Dec,3,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jan,4,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Feb,5,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Mar,6,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Apr,7,0
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,May,8,10.5459
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jun,9,17.8822
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Jul,10,26.3504
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Aug,11,24.774
WEAP,Wellsville Mendon Canal,USU WEAP Model 2017,Demand site,Demand,Monthly Variation,Sep,12,13.4833
