Date, UserID, Scenario, Branch, Variable, Action, NewValue, OldValue, ChangeID, ScenarioID, BranchID, VariableID, NewValue, OldValue
2015/01/03 11:09:27,AMA,,,FullExtentRight,Area-wide setting changed,-68.0832450533808,589103.227492111,   15,0,0,837,-68.0832450533808,589103.227492111
2015/01/03 11:09:27,AMA,,,FullExtentBottom,Area-wide setting changed,14.949688024911,4470293.15410559,   15,0,0,836,14.949688024911,4470293.15410559
2015/01/03 11:10:08,AMA,,,FullExtentTop,Area-wide setting changed,88.0929053669722,59.5893104270463,   15,0,0,834,88.0929053669722,59.5893104270463
2015/01/03 11:10:08,AMA,,,FullExtentLeft,Area-wide setting changed,-212.66559505802,-139.437699395018,   15,0,0,835,-212.66559505802,-139.437699395018
2015/01/03 11:10:08,AMA,,,FullExtentRight,Area-wide setting changed,-0.64808937154208,-68.0832450533808,   15,0,0,837,-0.64808937154208,-68.0832450533808
2015/01/03 11:10:08,AMA,,,FullExtentBottom,Area-wide setting changed,2.26104505885112,14.949688024911,   15,0,0,836,2.26104505885112,14.949688024911
2015/01/03 11:10:54,AMA,,,FullExtentTop,Area-wide setting changed,87.4855062647335,88.0929053669722,   15,0,0,834,87.4855062647335,88.0929053669722
2015/01/03 11:10:54,AMA,,,FullExtentLeft,Area-wide setting changed,157.284649128039,-212.66559505802,   15,0,0,835,157.284649128039,-212.66559505802
2015/01/03 11:10:54,AMA,,,FullExtentRight,Area-wide setting changed,200.466196157762,-0.64808937154208,   15,0,0,837,200.466196157762,-0.64808937154208
2015/01/03 11:10:54,AMA,,,FullExtentBottom,Area-wide setting changed,25.6308578167518,2.26104505885112,   15,0,0,836,25.6308578167518,2.26104505885112
2015/01/03 11:21:08,AMA,,,FullExtentTop,Area-wide setting changed,56.4869428469751,87.4855062647335,   15,0,0,834,56.4869428469751,87.4855062647335
2015/01/03 11:21:08,AMA,,,FullExtentLeft,Area-wide setting changed,-127.37293658363,157.284649128039,   15,0,0,835,-127.37293658363,157.284649128039
2015/01/03 11:21:08,AMA,,,FullExtentRight,Area-wide setting changed,-73.0815039323844,200.466196157762,   15,0,0,837,-73.0815039323844,200.466196157762
2015/01/03 11:21:08,AMA,,,FullExtentBottom,Area-wide setting changed,26.6697433274021,25.6308578167518,   15,0,0,836,26.6697433274021,25.6308578167518
2015/01/03 11:24:01,AMA,,,,Area saved,,,   4,0,0,0,,
2015/01/03 11:29:51,AMA,,,FullExtentTop,Area-wide setting changed,41.9742950656514,56.4869428469751,   15,0,0,834,41.9742950656514,56.4869428469751
