Name,Lat1,Lon1,Lat2,Lon2
"HSU407C65,A407",35.67312904,-119.3352528,35.68225043,-119.344236
"HU407,CVPM20G",35.678602,-119.344236,35.6749534,-119.3487276
"HU407,CVPM20S",35.678602,-119.344236,35.6749534,-119.3397444
"C62,C64",35.560005,-119.247309,35.600933,-119.462565
"C62,HAR19",35.560005,-119.247309,35.539585,-119.377529
"C62,N10",35.560005,-119.247309,35.567112,-119.411175
"C64,C689",35.600933,-119.462565,35.389768,-119.089519
"C64,HAR20",35.600933,-119.462565,35.431482,-119.070655
"C64,HSU407C64",35.600933,-119.462565,35.67312904,-119.3352528
"C65,C97",35.431957,-118.945931,35.431957,-118.945931
"C65,HAR20",35.431957,-118.945931,35.431482,-119.070655
"C65,HAR21",35.431957,-118.945931,35.345914,-119.065284
"C65,HSU407C65",35.431957,-118.945931,35.67312904,-119.3352528
"C65,HSU408BC65",35.431957,-118.945931,35.445205,-119.176799
"C65,HSU409AC65",35.431957,-118.945931,35.368324,-118.962797
"C65,WTP407",35.431957,-118.945931,35.76555329,-119.2376396
"C689,C65",35.389768,-119.089519,35.431957,-118.945931
"C689,HAR21",35.389768,-119.089519,35.345914,-119.065284
"C689,HSU409AC68",35.389768,-119.089519,35.331307,-118.998731
"C73,D859",35.325482,-119.21283,35.261828,-119.307634
"C73,HAR19",35.325482,-119.21283,35.539585,-119.377529
"C73,SR_BVLB",35.325482,-119.21283,35.224567,-119.262113
"C74,C97",35.359626,-119.117233,35.431957,-118.945931
"C74,D752",35.359626,-119.117233,35.29861,-119.345666
"C74,HAR20",35.359626,-119.117233,35.431482,-119.070655
"C74,HAR21",35.359626,-119.117233,35.345914,-119.065284
"C74,HSU407C63",35.359626,-119.117233,35.67312904,-119.3352528
"C74,HSU408AC74",35.359626,-119.117233,35.406108,-119.196464
"C74,HSU409AC74",35.359626,-119.117233,35.298837,-119.109922
"C95,D752",35.325805,-119.408835,35.29861,-119.345666
"C97,C73",35.431957,-118.945931,35.325482,-119.21283
