Name,Type,Latitude,Longitude
D616,Junction,37.67549,-121.264618
D676,Junction,37.665165,-121.240619
D683,Junction,37.607838,-121.174881
D689,Junction,37.63739,-121.194631
D694,Junction,37.309544,-120.930378
D700,Junction,37.59869,-121.287524
D701,Junction,37.610971,-121.326192
D703,Junction,37.318377,-121.125907
D710,Junction,37.09899,-121.040227
D712,Junction,37.098682,-121.040248
D722,Junction,37.082684,-120.997055
D723,Junction,37.059764,-120.949967
D731,Junction,36.781815,-120.421569
D742,Junction,36.972354,-120.877005
D743,Junction,36.9482179999999,-120.840908
D743a,Junction,36.940008,-120.833502
D744,Junction,36.897678,-120.796049
D744a,Junction,36.918288,-120.82522
D745,Junction,36.803567,-120.707933
D803,Junction,37.516936,-121.229926
D804,Junction,37.362397,-121.118404
D814,Junction,37.111696,-121.06305
D816,Junction,37.074189,-121.014887
GW_10,Groundwater Storage,37.117615,-120.864197
HGP10,Junction,37.123698,-120.838094
HGU10,Junction,37.118501,-120.882194
HSR302,Junction,37.1758310000001,-120.888125
HSR303,Junction,36.96846,-120.615057
PMP_DAmigo,Pump Plant,36.92572,-120.829335
PMP_ONeill,Pump Plant,37.098885,-121.047856
PWP_ONeill,Power Plant,37.098291,-121.047361
R302,Junction,37.219591,-120.81432
R303,Junction,36.872499,-120.49862
R_SJW,Non-Standard Demand,37.613932,-121.189264
EXT_CVPM10,Urban Demand,37.0700572600907,-120.849275576421
INT_CVPM10,Urban Demand,37.0700572600907,-120.840292423579
U303,Junction,37.073641,-120.844784
PMP_Gianel,Pump Plant,37.061944,-121.181037
PWP_Gianel,Power Plant,37.068375,-121.07597
SR_SNL,Surface Storage,37.032945,-121.134034
C70,Junction,37.982252,-121.804568
D800,Junction,37.729529,-121.523787
D801,Junction,37.779444,-121.621575
PMP_LosVaq,Pump Plant,37.841997,-121.726619
PMP_SoBay,Pump Plant,37.779219,-121.626072
SR_LVQ,Surface Storage,37.837926,-121.727064
ERes_CMWD,Urban Demand,33.943861,-118.164167
GW_MWD,Groundwater Storage,33.981906,-117.935524
HARMWD,Junction,34.148633,-118.005872
HGPMWD,Junction,33.906477,-118.044482
